Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"Dumaguete City, Negros Oriental, Philippines",9.29841,123.29249,Smart,56954,16300,56.95,16.30,20,89,28,40
"Dapa, Surigao del Norte, Philippines",9.78925,126.0676,Globe,86070,3089,86.07,3.09,33,88,1,5
"Taytay, Rizal, Philippines",14.55288,121.12571,Globe,60757,6545,60.76,6.55,16,87,32,51
"Baguio, Benguet, Philippines",16.41297,120.5914,DITO,16950,3793,16.95,3.79,23,86,23,28
"Urdaneta City, Pangasinan, Philippines",15.98194,120.59698,Globe,75033,11797,75.03,11.80,16,85,11,20
"Binangonan, Rizal, Philippines",14.48441,121.1869,Globe,81291,12696,81.29,12.70,14,85,23,28
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,Smart,34219,6110,34.22,6.11,27,85,38,47
"General Trias, Cavite, Philippines",14.38159,120.87915,DITO,22993,2489,22.99,2.49,21,84,22,36
"Taytay, Rizal, Philippines",14.55288,121.12571,Smart,69311,2836,69.31,2.84,15,82,29,44
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,Smart,86973,10867,86.97,10.87,17,82,22,32
"Cainta, Rizal, Philippines",14.58056,121.11565,Smart,43832,4920,43.83,4.92,15,81,37,60
"SJDM, Bulacan, Philippines",14.82867,121.04324,Smart,27432,3517,27.43,3.52,18,80,22,40
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,DITO,44704,5123,44.70,5.12,42,78,31,41
"Cainta, Rizal, Philippines",14.58056,121.11565,Globe,61222,5698,61.22,5.70,17,76,33,45
"Malay, Aklan, Philippines",11.93033,121.95191,Globe,49537,4039,49.54,4.04,30,74,17,30
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,DITO,23108,17002,23.11,17.00,40,73,19,29
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,DITO,46140,6800,46.14,6.80,23,72,35,53
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,DITO,87424,12966,87.42,12.97,34,72,18,33
"Tagum, Davao del Norte, Philippines",7.44742,125.80246,Smart,32760,3930,32.76,3.93,27,72,25,51
"Mabalacat City, Pampanga, Philippines",15.24525,120.56567,Smart,74814,5091,74.81,5.09,19,72,25,36
"Sablayan, Occidental Mindoro, Philippines",12.88349,120.98763,Globe,17654,2436,17.65,2.44,28,71,3,6
"Malay, Aklan, Philippines",11.93033,121.95191,Smart,43564,8183,43.56,8.18,42,71,25,38
"Lipa City, Batangas, Philippines",13.94047,121.19395,Globe,33994,8281,33.99,8.28,18,71,30,49
"Silang, Cavite, Philippines",14.22025,120.96469,Globe,53010,8691,53.01,8.69,18,69,32,47
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,DITO,63350,19773,63.35,19.77,21,67,29,52
"Tagaytay City, Cavite, Philippines",14.11541,120.96202,Smart,23797,1775,23.80,1.78,24,67,24,42
"Tagum, Davao del Norte, Philippines",7.44742,125.80246,DITO,15802,4164,15.80,4.16,47,67,22,33
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,Smart,20711,8299,20.71,8.30,25,66,25,35
"Medellin, Cebu, Philippines",11.1491,123.98615,Smart,37885,4907,37.89,4.91,26,66,2,2
"Dumaguete City, Negros Oriental, Philippines",9.29841,123.29249,Globe,25400,5902,25.40,5.90,41,64,19,29
"Manolo Fortich, Bukidnon, Philippines",8.39002,124.88449,Globe,32536,14453,32.54,14.45,37,63,5,7
"Mexico, Pampanga, Philippines",15.06457,120.72033,Globe,52465,11182,52.47,11.18,23,63,6,17
"Mandaue, Cebu, Philippines",10.3279,123.94273,DITO,66933,6945,66.93,6.95,35,63,23,47
"Pangantucan, Bukidnon, Philippines",7.84349,124.79617,Globe,39807,2982,39.81,2.98,32,62,3,3
"Floridablanca, Pampanga, Philippines",14.9619,120.49471,Smart,79167,9305,79.17,9.31,18,62,7,9
"Silang, Cavite, Philippines",14.22025,120.96469,Smart,41697,5401,41.70,5.40,25,61,22,34
"Balanga City, Bataan, Philippines",14.67454,120.47033,Smart,23813,5190,23.81,5.19,24,61,19,21
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,Smart,46013,3592,46.01,3.59,17,61,26,40
"Naga City, Camarines Sur, Philippines",13.6475,123.27003,Globe,20080,2723,20.08,2.72,24,60,29,44
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,DITO,67818,12086,67.82,12.09,18,60,25,44
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,DITO,36070,2901,36.07,2.90,29,59,24,35
"Santo Tomas, Batangas, Philippines",14.08754,121.17764,Smart,30542,2999,30.54,3.00,25,59,26,32
"Minglanilla, Cebu, Philippines",10.24543,123.79599,Smart,31519,9851,31.52,9.85,19,59,15,21
"Puerto Princesa City, Palawan, Philippines",9.78563,118.62648,Globe,38557,6235,38.56,6.24,30,58,24,31
"Legazpi City, Albay, Philippines",13.11288,123.76295,Globe,38361,6827,38.36,6.83,34,57,20,30
"Marilao, Bulacan, Philippines",14.77237,120.96001,Globe,28703,3972,28.70,3.97,26,57,18,33
"Biñan, Laguna, Philippines",14.31456,121.08316,Smart,48912,9755,48.91,9.76,20,57,24,34
"Tagaytay City, Cavite, Philippines",14.11541,120.96202,Globe,18044,7512,18.04,7.51,22,56,26,46
"Liloan, Cebu, Philippines",10.39926,124.00002,Smart,13036,9088,13.04,9.09,15,56,9,15
"Lambayong (Mariano Marcos), Sultan Kudarat, Philippines",6.79879,124.61927,Globe,15359,6420,15.36,6.42,34,55,3,3
"Ipil, Zamboanga Sibugay, Philippines",7.77318,122.57121,Globe,10732,1883,10.73,1.88,28,55,3,6
"Tacloban City, Leyte, Philippines",11.22238,124.99221,Smart,41324,14104,41.32,14.10,24,55,23,36
"Tanza, Cavite, Philippines",14.34293,120.85032,Smart,24854,2064,24.85,2.06,26,55,10,22
"Rodriguez, Rizal, Philippines",14.73202,121.14516,Globe,46786,11410,46.79,11.41,16,55,18,25
"Malaybalay City, Bukidnon, Philippines",8.15775,125.17087,Globe,24083,10100,24.08,10.10,34,53,13,16
"Cainta, Rizal, Philippines",14.58056,121.11565,DITO,23476,4221,23.48,4.22,23,53,20,27
"Valencia City, Bukidnon, Philippines",7.86319,125.17087,Globe,12590,7765,12.59,7.77,29,52,13,18
"Tagaytay City, Cavite, Philippines",14.11541,120.96202,DITO,31740,4605,31.74,4.61,20,52,17,27
"Mabini, Batangas, Philippines",13.72355,120.9073,Smart,4391,1785,4.39,1.79,17,52,4,5
"Mabalacat City, Pampanga, Philippines",15.24525,120.56567,Globe,32437,8088,32.44,8.09,20,51,20,31
"Legazpi City, Albay, Philippines",13.11288,123.76295,Smart,42408,6310,42.41,6.31,20,51,23,33
"Dipolog City, Zamboanga del Norte, Philippines",8.58717,123.34035,Smart,13196,5033,13.20,5.03,26,50,7,15
"Dumaguete City, Negros Oriental, Philippines",9.29841,123.29249,DITO,20776,2937,20.78,2.94,40,50,14,19
"Talisay, Cebu, Philippines",10.25859,123.82413,DITO,58680,3183,58.68,3.18,34,50,10,18
"Binangonan, Rizal, Philippines",14.48441,121.1869,Smart,99374,14225,99.37,14.23,15,49,17,26
"Carmona, Cavite, Philippines",14.3135,121.05712,Smart,19352,4652,19.35,4.65,24,49,18,27
"Cabuyao City, Laguna, Philippines",14.27433,121.11961,Globe,20416,6028,20.42,6.03,20,49,17,23
"Carmona, Cavite, Philippines",14.3135,121.05712,Globe,40034,9867,40.03,9.87,21,49,15,22
"Magalang, Pampanga, Philippines",15.21394,120.66181,Globe,46873,7526,46.87,7.53,23,48,13,16
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,Smart,26050,4886,26.05,4.89,19,48,23,29
"Talisay, Cebu, Philippines",10.25859,123.82413,Smart,49972,14572,49.97,14.57,17,47,19,28
"Tagum, Davao del Norte, Philippines",7.44742,125.80246,Globe,18893,3572,18.89,3.57,33,47,23,33
"San Pedro, Laguna, Philippines",14.36443,121.06192,Globe,21348,3788,21.35,3.79,21,47,23,33
"Buhi, Camarines Sur, Philippines",13.40951,123.51681,Globe,13867,13508,13.87,13.51,32,46,3,4
"Tagbilaran City, Bohol, Philippines",9.6534,123.86703,Smart,23648,2670,23.65,2.67,24,46,21,28
"San Pedro, Laguna, Philippines",14.36443,121.06192,Smart,32074,3732,32.07,3.73,19,46,24,32
"Lipa City, Batangas, Philippines",13.94047,121.19395,DITO,15119,1855,15.12,1.86,22,46,15,22
"San Nicolas, Ilocos Norte, Philippines",18.14708,120.58547,Globe,99453,15414,99.45,15.41,22,46,5,5
"SJDM, Bulacan, Philippines",14.82867,121.04324,DITO,54932,15798,54.93,15.80,27,46,16,23
"San Mateo, Rizal, Philippines",14.69539,121.11767,Smart,64359,15874,64.36,15.87,16,46,21,28
"Malvar, Batangas, Philippines",14.04329,121.15875,Globe,56649,13614,56.65,13.61,18,45,8,12
"Cauayan City, Isabela, Philippines",16.91662,121.78792,Globe,67595,11402,67.60,11.40,23,45,8,15
"Alicia, Isabela, Philippines",16.80691,121.69674,Smart,84938,16146,84.94,16.15,31,45,2,30
"Talisay, Negros Occidental, Philippines",10.74828,122.98012,Globe,19373,6207,19.37,6.21,34,45,13,18
"Malolos, Bulacan, Philippines",14.86049,120.80916,Globe,44331,7259,44.33,7.26,24,44,19,29
"Rodriguez, Rizal, Philippines",14.73202,121.14516,Smart,52755,3688,52.76,3.69,15,44,18,26
"Marilao, Bulacan, Philippines",14.77237,120.96001,Smart,45691,2038,45.69,2.04,17,44,19,29
"Valencia City, Bukidnon, Philippines",7.86319,125.17087,DITO,43738,33688,43.74,33.69,46,44,3,7
"Digos, Davao del Sur, Philippines",6.74347,125.35515,Globe,13962,5254,13.96,5.25,30,43,7,13
"Infanta, Pangasinan, Philippines",15.87303,120.00874,Smart,98076,6515,98.08,6.52,21,43,2,2
"Tanza, Cavite, Philippines",14.34293,120.85032,Globe,17789,5473,17.79,5.47,18,43,16,25
"Puerto Princesa City, Palawan, Philippines",9.78563,118.62648,Smart,26309,7396,26.31,7.40,40,43,19,31
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,DITO,76583,15259,76.58,15.26,21,43,19,29
"San Pablo City, Laguna, Philippines",14.06422,121.32326,Globe,91638,8625,91.64,8.63,17,42,17,26
"Calasiao, Pangasinan, Philippines",16.00949,120.35759,Globe,24035,2323,24.04,2.32,19,40,4,9
"Tacurong City, Sultan Kudarat, Philippines",6.6866,124.66353,Globe,20442,7594,20.44,7.59,28,40,7,9
"Meycauayan, Bulacan, Philippines",14.73772,120.96077,Smart,41683,3701,41.68,3.70,17,40,14,25
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,Globe,34931,4638,34.93,4.64,22,39,16,26
"Navotas, Metro Manila, Philippines",14.65819,120.94743,Smart,31384,2536,31.38,2.54,13,39,11,16
"Tanza, Cavite, Philippines",14.34293,120.85032,DITO,19472,3818,19.47,3.82,25,38,15,20
"Malabon, Metro Manila, Philippines",14.65793,120.95118,Globe,68493,10268,68.49,10.27,16,38,15,24
"Malolos, Bulacan, Philippines",14.86049,120.80916,Smart,22704,1695,22.70,1.70,19,38,19,25
