Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
"Carmen, Cebu, Philippines",10.58876,123.96385,PLDT Home Fiber,95630,161472,95.63,161.47,5,237,92,143
"Marikina, Metro Manila, Philippines",14.63493,121.10195,PLDT,93840,70415,93.84,70.42,11,236,99,127
"Taytay, Rizal, Philippines",14.55288,121.12571,PLDT,82110,85290,82.11,85.29,5,235,77,118
"Kawit, Cavite, Philippines",14.44588,120.90871,PLDT Home Fiber,105835,121114,105.84,121.11,8,235,93,127
"General Trias, Cavite, Philippines",14.38159,120.87915,Globe,185859,158852,185.86,158.85,6,234,103,143
"Tanza, Cavite, Philippines",14.34293,120.85032,PLDT Home Fiber,200862,176470,200.86,176.47,4,234,70,84
"Palo, Leyte, Philippines",11.15847,124.99191,PLDT,70785,80389,70.79,80.39,15,232,17,26
"San Manuel, Pangasinan, Philippines",16.10561,120.67751,PLDT,129453,108708,129.45,108.71,5,231,90,126
"La Trinidad, Benguet, Philippines",16.44844,120.59047,PLDT Home Fiber,94844,99862,94.84,99.86,7,231,70,92
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,Globe,172421,186966,172.42,186.97,4,225,89,120
"Bacoor, Cavite, Philippines",14.43122,120.96567,Converge,221249,182036,221.25,182.04,6,225,75,124
"Unisan, Quezon, Philippines",13.86351,122.01555,Converge,98359,94607,98.36,94.61,9,224,80,115
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,Globe,122945,115948,122.95,115.95,4,223,82,108
"Talaingod, Davao del Norte, Philippines",7.68339,125.522,Globe,63540,55658,63.54,55.66,5,223,121,169
"Imus, Cavite, Philippines",14.42764,120.93724,Globe,97490,98688,97.49,98.69,4,220,77,116
"Batangas City, Batangas, Philippines",13.75641,121.05833,PLDT Home Fiber,109948,93087,109.95,93.09,8,220,78,105
"Puerto Princesa City, Palawan, Philippines",9.78563,118.62648,PLDT,87441,110318,87.44,110.32,19,219,42,84
"Angeles, Pampanga, Philippines",15.16061,120.60908,PLDT Home Fiber,181570,126447,181.57,126.45,8,215,83,120
"Subic, Zambales, Philippines",14.83066,120.18202,Converge,159077,155398,159.08,155.40,5,215,103,142
"Diadi, Nueva Vizcaya, Philippines",16.6595,121.33129,Converge,119784,107906,119.78,107.91,9,211,69,110
"Bacoor, Cavite, Philippines",14.43122,120.96567,Globe,200337,148276,200.34,148.28,6,210,74,96
"San Antonio, Nueva Ecija, Philippines",15.31921,120.82692,Globe,153390,133140,153.39,133.14,5,209,66,114
"Santa Barbara, Pangasinan, Philippines",15.9774,120.42424,Converge,152477,139899,152.48,139.90,6,209,80,120
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,PLDT Home Fiber,108706,100497,108.71,100.50,10,204,83,118
"Cainta, Rizal, Philippines",14.58056,121.11565,Converge,242339,249568,242.34,249.57,3,204,72,89
"San Manuel, Pangasinan, Philippines",16.10561,120.67751,PLDT Home Fiber,101215,105458,101.22,105.46,7,201,61,106
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,PLDT Home Fiber,92014,124937,92.01,124.94,4,201,52,70
"San Nicolas, Pangasinan, Philippines",16.12066,120.78097,PLDT Home Fiber,93312,94628,93.31,94.63,5,201,76,105
"La Paz, Tarlac, Philippines",15.4497,120.7235,Globe,190229,172433,190.23,172.43,4,199,92,135
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Globe,195262,157107,195.26,157.11,5,198,76,105
"Tuguegarao City, Cagayan, Philippines",17.60306,121.75374,PLDT,88595,66503,88.60,66.50,13,197,63,97
"San Pedro, Laguna, Philippines",14.36443,121.06192,Converge,237157,202919,237.16,202.92,6,197,52,101
"Manaoag, Pangasinan, Philippines",16.04627,120.4876,Converge,196374,165407,196.37,165.41,5,196,68,107
"Rosario, Batangas, Philippines",13.80433,121.28552,Globe,125911,111475,125.91,111.48,8,193,75,100
"SJDM, Bulacan, Philippines",14.82867,121.04324,PLDT Home Fiber,159772,162867,159.77,162.87,6,192,78,98
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,Converge,212445,205166,212.45,205.17,4,192,64,91
"Alicia, Isabela, Philippines",16.80691,121.69674,Converge,194890,201214,194.89,201.21,9,188,65,107
"Rodriguez, Rizal, Philippines",14.73202,121.14516,PLDT Home Fiber,116317,196993,116.32,196.99,3,188,67,84
"Meycauayan, Bulacan, Philippines",14.73772,120.96077,PLDT Home Fiber,99038,98066,99.04,98.07,10,187,63,89
"Kawit, Cavite, Philippines",14.44588,120.90871,PLDT,93429,94013,93.43,94.01,11,187,71,111
"Santo Tomas, Pampanga, Philippines",14.99601,120.70407,PLDT Home Fiber,97899,93802,97.90,93.80,7,185,71,92
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,Globe,69560,52826,69.56,52.83,17,184,53,63
"Arayat, Pampanga, Philippines",15.15443,120.771,Globe,124488,108806,124.49,108.81,5,183,72,103
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Globe,130471,122303,130.47,122.30,5,182,77,94
"San Juan, Batangas, Philippines",13.75044,121.37703,PLDT Home Fiber,93429,94274,93.43,94.27,7,181,61,92
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,PLDT Home Fiber,95965,98817,95.97,98.82,10,180,63,82
"Marilao, Bulacan, Philippines",14.77237,120.96001,PLDT Home Fiber,89455,94612,89.46,94.61,10,178,77,106
"Bago, Negros Occidental, Philippines",10.53757,122.83609,Globe,123033,186653,123.03,186.65,4,178,75,101
"Malasiqui, Pangasinan, Philippines",15.92028,120.41443,PLDT Home Fiber,96800,136336,96.80,136.34,10,176,56,86
"Llanera, Nueva Ecija, Philippines",15.66623,121.01057,Converge,181990,172304,181.99,172.30,7,176,69,114
