Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"Talisay, Cebu, Philippines",10.25859,123.82413,Smart,49076,6836,49.08,6.84,17,986,227,323
"Biñan, Laguna, Philippines",14.31456,121.08316,Smart,48057,5423,48.06,5.42,21,981,323,459
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,Smart,51021,6436,51.02,6.44,15,970,253,508
"Makati City, Metro Manila, Philippines",14.55474,121.02444,DITO,82986,16310,82.99,16.31,18,964,317,468
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,DITO,35842,4543,35.84,4.54,32,958,216,330
"Puerto Princesa City, Palawan, Philippines",9.78563,118.62648,Globe,24578,5800,24.58,5.80,32,946,246,342
"Biñan, Laguna, Philippines",14.31456,121.08316,DITO,37324,4588,37.32,4.59,23,930,156,397
"Ormoc City, Leyte, Philippines",11.03843,124.61927,Globe,20950,3094,20.95,3.09,44,917,85,133
"Biñan, Laguna, Philippines",14.31456,121.08316,Globe,41843,6699,41.84,6.70,19,898,319,468
"Isabela, Basilan, Philippines",6.70387,121.9799,Globe,12058,5703,12.06,5.70,40,898,55,68
"Cainta, Rizal, Philippines",14.58056,121.11565,Smart,88583,8197,88.58,8.20,14,890,323,458
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,DITO,41425,8129,41.43,8.13,19,890,222,318
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,DITO,22016,5727,22.02,5.73,38,885,177,246
"Lipa City, Batangas, Philippines",13.94047,121.19395,Smart,35471,4171,35.47,4.17,21,876,234,351
"Navotas, Metro Manila, Philippines",14.65819,120.94743,Smart,52513,5107,52.51,5.11,14,872,86,298
"Imus, Cavite, Philippines",14.42764,120.93724,Smart,35885,4314,35.89,4.31,22,852,309,449
"Cainta, Rizal, Philippines",14.58056,121.11565,Globe,51117,9936,51.12,9.94,15,826,235,389
"Mabalacat City, Pampanga, Philippines",15.24525,120.56567,Smart,46361,4687,46.36,4.69,19,820,225,317
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,DITO,17544,4832,17.54,4.83,39,811,123,181
"SJDM, Bulacan, Philippines",14.82867,121.04324,Smart,46120,4756,46.12,4.76,18,806,242,343
"Baguio, Benguet, Philippines",16.41297,120.5914,DITO,23658,5444,23.66,5.44,23,792,165,269
"Daet, Camarines Norte, Philippines",14.10303,122.9325,Smart,41524,2776,41.52,2.78,22,789,136,186
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,Smart,31998,4174,32.00,4.17,19,787,190,323
"Legazpi City, Albay, Philippines",13.11288,123.76295,Globe,23899,4155,23.90,4.16,33,787,158,244
"Oton, Iloilo, Philippines",10.69251,122.47868,Globe,15777,4889,15.78,4.89,39,772,54,81
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,Globe,29750,6292,29.75,6.29,23,766,203,300
"San Pedro, Laguna, Philippines",14.36443,121.06192,Globe,31193,5082,31.19,5.08,19,751,237,344
"Kawit, Cavite, Philippines",14.44588,120.90871,DITO,26587,6364,26.59,6.36,24,751,26,373
"Marilao, Bulacan, Philippines",14.77237,120.96001,Smart,39375,2661,39.38,2.66,20,748,224,316
"Ormoc City, Leyte, Philippines",11.03843,124.61927,Smart,49291,7824,49.29,7.82,20,747,127,185
"Laoag City, Ilocos Norte, Philippines",18.21075,120.58547,Globe,23880,8358,23.88,8.36,25,746,93,123
